band,bandLabel,member,memberLabel
Q1370588,New Edition,Q7332041,Ricky Bell
Q1370588,New Edition,Q2393563,Johnny Gill
Q1370588,New Edition,Q3242577,Ralph Tresvant
Q1370588,New Edition,Q4958243,Michael Bivins
Q1368192,Espers,Q6807960,Meg Baird
Q1165609,USA for Africa,Q435306,Lindsey Buckingham
Q1165609,USA for Africa,Q435247,June Pointer
Q1165609,USA for Africa,Q349461,Randy Jackson
Q909731,All Time Low,Q3805543,Jack Barakat
Q912800,Stars of the Lid,Q4679986,Adam Wiltzie
Q1611056,Supersuckers,Q1282986,Eddie Spaghetti
Q1610982,Great Northern,Q379220,Solon Bixler
Q1625314,HolyHell,Q3430501,Maria Breon
Q1617129,Hi-Five,Q2559680,Tony Thompson
Q1660304,Imperial Teen,Q8003076,Will Schwartz
Q1660304,Imperial Teen,Q6709256,Lynn Truell
Q1662265,Infamous Stringdusters,Q5106485,Chris Eldridge
Q1412964,Saetia,Q78179123,Adam Marino
Q2670582,Marky Mark and the Funky Bunch,Q164119,Mark Wahlberg
Q1412964,Saetia,Q3323879,Greg Drudy
Q1412964,Saetia,Q4913453,Billy Werner
Q909483,Spin Doctors,Q2400916,Christopher Barron Gross
Q1370588,New Edition,Q7365846,Ronnie DeVoe
Q909483,Spin Doctors,Q50919629,Eric Schenkman
Q908848,Devo,Q1351259,Mark Mothersbaugh
Q1661036,Incubus,Q2832975,Alex Katunich
Q2410177,The Chambers Brothers,Q64364681,Joseph Chambers
Q1661305,Jodeci,Q1179660,DeVante Swing
Q1660628,In Gowan Ring,Q3631663,B'eirth
Q1660304,Imperial Teen,Q983256,Roddy Bottum
Q2032479,Rough Cutt,Q3898155,Paul Shortino
Q1604960,House of Low Culture,Q4468153,Aaron Turner
Q1609632,Hercules & Love Affair,Q7048550,Nomi Ruiz
Q1604960,House of Low Culture,Q6173534,Jeff Caxide
Q1606270,Natas,Q1238828,Esham
Q981129,Juliette and the Licks,Q230523,Juliette Lewis
Q2021021,Ollie & Jerry,Q7088327,Ollie E. Brown
Q2028421,Acheron,Q50417803,Vincent Crowley
Q950309,The B-52's,Q4348620,Ricky Wilson
Q664871,Saosin,Q4149559,Anthony Green
Q950309,The B-52's,Q4357101,Keith Strickland
Q2028421,Acheron,Q561515,Peter H. Gilmore
Q2008427,The Oak Ridge Boys,Q6208710,Joe Bonsall
Q2017294,Okkervil River,Q1851625,Will Sheff
Q2014104,Odd Project,Q6831582,Michael Jagmin
Q2023964,David Shankle Group,Q385791,David Shankle
Q1595152,Throwing Muses,Q434464,Tanya Donelly
Q1179673,DeVotchKa,Q55529018,Nick Urata
Q1603006,Siegel–Schwall Band,Q1133030,Corky Siegel
Q1179673,DeVotchKa,Q60447791,Jeanie Schroder
Q1601575,Utopia,Q364875,Todd Rundgren
Q1592554,Heathen,Q361721,Lee Altus
Q2030958,The Spinners,Q888679,Bobby Smith
Q2031780,Rasputina,Q227121,Zoë Keating
Q546223,Army of Anyone,Q717568,Dean DeLeo
Q546223,Army of Anyone,Q924486,Robert DeLeo
Q546223,Army of Anyone,Q715404,Richard Patrick
Q212464,New Kids on the Block,Q337511,Jordan Knight
Q2410892,The Dirty Heads,Q451076,Josh Freese
Q2483121,Spirits Burning,Q443007,Daevid Allen
Q948216,Carolina Liar,Q5547348,Jim Almgren Gândara
Q960323,Bacilos,Q6278739,Jorge Villamizar
Q2037643,Blondfire,Q4977410,Bruce Driscoll
Q667084,The Von Bondies,Q6163562,Jason Stollsteimer
Q1638376,Iris,Q7300748,Reagan Jones
Q969914,Dwarves,Q4923839,Blag Dahlia
Q664062,The Weavers,Q7365873,Ronnie Gilbert
Q2410071,The Browns,Q1689093,Jim Ed Brown
Q2405560,Free Kitten,Q6306265,Julia Cafritz
Q2408291,The Horrible Crowes,Q2503485,Brian Fallon
Q2409423,Amazing Rhythm Aces,Q4912504,Billy Earheart
Q2405560,Free Kitten,Q4355988,Yoshimi P-We
Q2410006,The Brandos,Q5229100,Dave Kincaid
Q2410071,The Browns,Q4942298,Bonnie Brown
Q2410071,The Browns,Q6795953,Maxine Brown
Q212464,New Kids on the Block,Q740877,Joey McIntyre
Q687785,The Four Seasons,Q887941,Bob Gaudio
Q1226925,Dion and the Belmonts,Q1226921,Dion DiMucci
Q546223,Army of Anyone,Q438935,Ray Luzier
Q1226925,Dion and the Belmonts,Q1338839,Fred Milano
Q547144,Animal,Q2130842,Randy Piper
Q1226925,Dion and the Belmonts,Q5041553,Carlo Mastrangelo
Q899341,Suicidal Tendencies,Q7273713,R. J. Herrera
Q1051751,Cavalera Conspiracy,Q201459,Igor Pablo Cavalera
Q899341,Suicidal Tendencies,Q15285290,Thundercat
Q899341,Suicidal Tendencies,Q6271296,Jon Nelson
Q899341,Suicidal Tendencies,Q6686258,Louiche Mayorga
Q899341,Suicidal Tendencies,Q7364704,"Ronald Bruner, Jr."
Q283986,Mink DeVille,Q455762,Willy DeVille
Q271513,The Fray,Q4572636,Joe King
Q271513,The Fray,Q1794850,Ben Wysocki
Q271513,The Fray,Q4572658,Dave Welsh
Q682710,Extreme,Q6396273,Kevin Figueiredo
Q682710,Extreme,Q5040696,Carl Restivo
Q2410177,The Chambers Brothers,Q6531825,Lester Chambers
Q2410177,The Chambers Brothers,Q4964296,Brian Keenan
Q682710,Extreme,Q5753881,Paul Geary
Q2410177,The Chambers Brothers,Q8021426,Willie Chambers
Q2164650,Fandango,Q319297,Joe Lynn Turner
Q2533204,Street Sweeper Social Club,Q297552,Tom Morello
Q212464,New Kids on the Block,Q313470,Donnie Wahlberg
Q2409541,The Ascendicate,Q7384138,Ryan Helm
Q682710,Extreme,Q372278,Nuno Bettencourt
Q682710,Extreme,Q321308,Mike Mangini
Q1533339,The Go-Go's,Q233959,Belinda Carlisle
Q1533339,The Go-Go's,Q440668,Jane Wiedlin
Q1534202,Vital Information,Q463200,Steve Smith
Q2044501,Silver Jews,Q1173743,David Berman
Q967122,Steelheart,Q1396867,Miljenko Matijevic
Q1984612,Hater,Q1613734,John McBain
Q2034482,Blotted Science,Q1106673,Ron Jarzombek
Q968380,The Playing Favorites,Q1349702,Joey Cape
Q2740154,Khanate,Q1695752,Stephen O'Malley
Q2764008,Keep the Dog,Q1685482,Jean Derome
Q2765475,The Firm,Q194220,Nas
Q2561975,The Apples in Stereo,Q5107403,Chris McDuffie
Q976916,Nuclear Death,Q6498742,Laura Bravo
Q2561975,The Apples in Stereo,Q4908812,Bill Doss
Q2561975,The Apples in Stereo,Q4586663,Robert Schneider
Q2561975,The Apples in Stereo,Q5107685,Chris Parfitt
Q212448,Metal Church,Q2486775,Kurdt Vanderhoof
Q1164913,Morphine,Q2403115,Mark Sandman
Q2001971,Shelter,Q4213190,Ray Cappo
Q1164722,Mantas,Q2269150,Kam Lee
Q2000558,The Delfonics,Q2325213,Randy Cain
Q1164418,Sonora Ponceña,Q3362922,Papo Lucca
Q2497276,Blue Angel,Q1545,Cyndi Lauper
Q1529105,Gladys Knight & the Pips,Q235952,Gladys Knight
Q1051751,Cavalera Conspiracy,Q307391,Max Cavalera
Q1051751,Cavalera Conspiracy,Q713854,Tony Campos
Q1051751,Cavalera Conspiracy,Q713626,Marc Rizzo
Q1640259,Widowmaker,Q366044,Dee Snider
Q2267966,Eleven,Q432421,Natasha Shneider
Q1642193,Bad Moon Rising,Q358732,Doug Aldrich
Q1155385,Third Eye Blind,Q55824454,Tony Fredianelli
Q1006939,G. Love & Special Sauce,Q3294009,Mark Boyce
Q214039,Beastie Boys,Q2706308,Mike D
Q1659563,Ima Robot,Q2832939,Alex Ebert
Q1004336,Fun Lovin' Criminals,Q2904765,Huey Morgan
Q1610509,Voxtrot,Q28167157,Ramesh Srivastava
Q1615309,We Are the In Crowd,Q3981660,Taylor Jardine
Q1630271,The Holy Modal Rounders,Q7177073,Peter Stampfel
Q978485,Wellwater Conspiracy,Q318587,Matt Cameron
Q1628428,Los Crudos,Q11770720,Martin Sorrondeguy
Q976991,Dashboard Confessional,Q2352011,Chris Carrabba
Q2749674,Go Betty Go,Q6007632,Nicolette Vilar
Q2745611,Mtume,Q5927272,Hubert Eaves III
Q2773063,Lou Gold & His Orchestra,Q60642932,Lou Gold
Q1414349,the Avengers,Q543039,Penelope Houston
Q2739596,Antipop Consortium,Q2892832,Beans
Q2740597,The Procussions,Q6928777,Mr. J. Medeiros
Q2267966,Eleven,Q353316,Jack Irons
Q214039,Beastie Boys,Q344784,Adam Yauch
Q214039,Beastie Boys,Q349799,Ad-Rock
Q2004533,The Blasters,Q7181651,Phil Alvin
Q212448,Metal Church,Q6847325,Mike Howe
Q1529102,Mannheim Steamroller,Q5101497,Chip Davis
Q2410696,The Dan Band,Q5213480,Dan Finnerty
Q2410963,The Draft,Q5108511,Chris Wollard
Q688845,Armor for Sleep,Q4885962,Ben Jorgensen
Q1025371,Caedmon's Call,Q5262449,Derek Webb
Q2534812,VOTA,Q4980278,Bryan Olesen
Q1533176,Kottonmouth Kings,Q4036835,D-Loc
Q284351,The Locust,Q6317995,Justin Pearson
Q283487,Taking Back Sunday,Q3311405,Adam Lazzara
Q285108,Suicide,Q726280,Alan Vega
Q282531,Train,Q2713723,Patrick Monahan
Q1533339,The Go-Go's,Q2960962,Charlotte Caffey
Q3033777,Dogstar,Q43416,Keanu Reeves
Q300519,A Perfect Circle,Q1340415,Tim Alexander
Q300519,A Perfect Circle,Q433617,James Iha
Q300519,A Perfect Circle,Q266006,Paz Lenchantin
Q221021,Yo La Tengo,Q5547544,Georgia Hubley
Q2695160,Wet Willie,Q6200267,Jimmy Hall
Q2910468,Pharaoh's Daughter,Q25712705,Basya Schechter
Q2696102,N.A.S.A.,Q7408195,Sam Spiegel
Q2748617,C.I.A.,Q173637,Ice Cube
Q2740467,CAB,Q44078,Tony MacAlpine
Q2414802,The Upsetters,Q82222,Little Richard
Q2420415,Boyz n da Hood,Q342447,Jeezy
Q213249,Vista Chino,Q928751,Nick Oliveri
Q1018071,The Paul Butterfield Blues Band,Q918576,Paul Butterfield
Q2411447,The Folk Implosion,Q939369,Lou Barlow
Q4735114,Alpha Rev,Q16217468,Casey McPherson
Q214418,The Bangles,Q273407,Vicki Peterson
Q2604214,Major Lazer,Q20684243,Jillionaire
Q214418,The Bangles,Q272374,Susanna Hoffs
Q214418,The Bangles,Q273414,Debbi Peterson
Q2264949,Halford,Q271576,Rob Halford
Q2262415,Seatrain,Q278366,Andy Kulberg
Q2164074,Sha Na Na,Q78386936,Larry Packer
Q688746,Self,Q16214500,Matt Mahaffey
Q1526312,The Connells,Q6846377,Mike Connell
Q2490350,Sherwood,Q6968652,Nate Henry
Q2164074,Sha Na Na,Q16145476,Jocko Marcellino
Q2164074,Sha Na Na,Q7438920,Screamin' Scott Simon
Q1025255,We the Kings,Q19956991,Travis Clark
Q1018174,Butthole Surfers,Q7151989,Paul Leary
Q2267966,Eleven,Q1360129,Greg Upchurch
Q1016799,Burning Witch,Q1695752,Stephen O'Malley
Q1181646,Debris Inc.,Q1355594,Jimmy Bower
Q2166782,ABN,Q1378825,Trae tha Truth
Q2166292,Toad the Wet Sprocket,Q1855374,Glen Phillips
Q1533339,The Go-Go's,Q5562918,Gina Schock
Q269450,Suffocation,Q3288729,Kevin Talley
Q3023813,Death Ambient,Q460325,Fred Frith
Q3036876,Doo Rag,Q2907742,Bob Log III
Q3024742,Destroy the Runner,Q5066151,Chad Ackerman
Q3046468,Earthlings?,Q3327225,Dave Catching
Q3044061,Project 86,Q4758531,Andrew Schwab
Q3022291,Denali,Q5024822,Cam DiNunzio
Q277551,Panic! at the Disco,Q1047474,Brendon Urie
Q2411363,Pinkly Smooth,Q1057003,The Rev
Q2411336,The Firebird Band,Q1077021,Chris Broach
Q682710,Extreme,Q610009,Gary Cherone
Q682710,Extreme,Q1995701,Pat Badger
Q1525795,It's a Beautiful Day,Q959867,David LaFlamme
Q1521867,Ghost Machine,Q918157,Ivan L. Moody
Q1525702,Hot Water Music,Q441459,Chuck Ragan
Q1519986,Geto Boys,Q607978,Bushwick Bill
Q1412298,Helmet,Q1347326,Page Hamilton
Q1411035,Screaming Trees,Q319277,Mark Lanegan
Q1412029,Carter Family,Q321014,A. P. Carter
Q1412298,Helmet,Q3900896,Peter Mengede
Q2032001,Warbringer,Q76467454,Carlos Cruz
Q2030965,Tilly and the Wall,Q6403840,Kianna Alarid
Q2030783,Originoo Gunn Clappaz,Q2883168,Starang Wondah
Q270055,7 Year Bitch,Q16196316,Selene Vigil-Wilk
Q270055,7 Year Bitch,Q16012872,Stefanie Sargent
Q269450,Suffocation,Q7703265,Terrance Hobbs
Q269450,Suffocation,Q3751889,Frank Mullen
Q270019,7 Seconds,Q6397461,Kevin Seconds
Q4736129,Altamont,Q451088,Dale Crover
Q270055,7 Year Bitch,Q15526782,Roisin Dunne
Q270055,7 Year Bitch,Q16150177,Valerie Agnew
Q270055,7 Year Bitch,Q16195968,Elizabeth Davis
Q2561975,The Apples in Stereo,Q5760821,Hilarie Sidney
Q2561975,The Apples in Stereo,Q6239279,John Hill
Q2561975,The Apples in Stereo,Q6196849,Jim McIntyre
Q2561975,The Apples in Stereo,Q16217277,John Ferguson
Q2412953,The Mugwumps,Q49734,Cass Elliot
Q1641234,Hypnogaja,Q443077,ShyBoy
Q214039,Beastie Boys,Q587361,Rick Rubin
Q2414032,The Royal Teens,Q455605,Al Kooper
Q690261,The American Breed,Q5525481,Gary Loizzo
Q264944,Coon-Sanders Original Nighthawk Orchestra,Q59779846,Carleton A. Coon
Q264944,Coon-Sanders Original Nighthawk Orchestra,Q6212175,Joe Sanders
Q1544144,Tin Machine,Q5383,David Bowie
Q1643744,Body Head Bangerz,Q955619,Roy Jones Jr.
Q2056208,Past Lives,Q16199549,Jordan Blilie
Q2062519,Flaw,Q5108377,Chris Volz
Q1543041,The Osmonds,Q55129250,David Osmond
Q2071101,Periphery,Q6875463,Misha Mansoor
Q2061582,Vertical Horizon,Q6789286,Matt Scannell
Q2063903,Vio-lence,Q587919,Phil Demmel
Q2064784,The Movielife,Q7932642,Vinnie Caruana
Q2055093,Parts & Labor,Q16241787,Dan Friel
Q3021044,Deconstruction,Q352473,Dave Navarro
Q3028374,"Dino, Desi & Billy",Q324882,"Desi Arnaz, Jr."
Q2536362,My Ruin,Q3514059,Tairrie B
Q1027165,Three 6 Mafia,Q3303388,Crunchy Black
Q2492812,Under the Influence of Giants,Q2820029,Aaron Bruno
Q2155395,Rival Schools,Q2546219,Walter Schreifels
Q1527861,Giuffria,Q2549389,David Glen Eisley
Q2164080,Tiger Army,Q3339699,Nick 13
Q2165544,The Tubes,Q1936454,Vince Welnick
Q991278,Escape the Fate,Q2019307,Ronnie Radke
Q1182499,Deerhunter,Q2552873,Bradford Cox
Q1027200,Calle 13,Q2062208,Residente
Q2458127,American Music Club,Q1106350,Mark Eitzel
Q2453209,Fanny,Q6312374,June Millington
Q1521915,Ghost of the Robot,Q312885,James Marsters
Q2453209,Fanny,Q27884106,Alice de Buhr
Q2452455,Tribe of Gypsies,Q703264,Roy Z
Q2463731,Don Caballero,Q5212814,Damon Che
Q2610458,AM Conspiracy,Q2520362,Jason Jones
Q2614717,The Dirtbombs,Q6838100,Mick Collins
Q2608736,The Envy Corps,Q2923751,Brandon Darner
Q2605098,Man or Astro-man?,Q4965456,Brian Teasley
Q2623386,Codona,Q456180,Don Cherry
Q223736,Velvet Revolver,Q34166,Slash
Q2083578,Double Trouble,Q2536666,W. C. Clark
Q2083578,Double Trouble,Q3499458,Reese Wynans
Q2083578,Double Trouble,Q2964780,Chris Layton
Q2080089,The Bar-Kays,Q6128505,James Alexander
Q1588793,Haste the Day,Q21063697,Stephen Keech
Q1592104,Hazmat Modine,Q19816339,Wade Schuman
Q1592104,Hazmat Modine,Q19879811,Pamela Fleming
Q1592104,Hazmat Modine,Q15430150,Charles Burnham
Q1592104,Hazmat Modine,Q55461934,Steve Elson
Q1382101,Streetlight Manifesto,Q1270962,Tomas Kalnoky
Q1592104,Hazmat Modine,Q60734975,Joseph Daley
Q1592104,Hazmat Modine,Q70348838,Erik Della Penna
Q1592104,Hazmat Modine,Q70354288,Patrick Simard
Q2521123,Echobrain,Q5318711,Dylan Donkin
Q277230,98 Degrees,Q5357053,Jeff Timmons
Q2411388,Five Stairsteps,Q6389203,Keni Burke
Q1018174,Butthole Surfers,Q6411339,King Coffey
Q1018174,Butthole Surfers,Q5559079,Gibby Haynes
Q1018174,Butthole Surfers,Q6174708,Jeff Pinkus
Q212464,New Kids on the Block,Q1164808,Danny Wood
Q1529784,Glassjaw,Q1167000,Daryl Palumbo
Q2517106,Vermont,Q1173441,Davey von Bohlen
Q2411709,The Gracious Few,Q1740209,Kevin Martin
Q1023772,CIV,Q1538312,Gorilla Biscuits
Q1003262,Foxboro Hot Tubs,Q712592,Billie Joe Armstrong
Q214039,Beastie Boys,Q704963,Mix Master Mike
Q2414032,The Royal Teens,Q887941,Bob Gaudio
Q2604214,Major Lazer,Q533781,Diplo
Q2604214,Major Lazer,Q3101707,Switch
Q4733258,Alloy Orchestra,Q7358654,Roger Miller
Q2449946,Jack's Mannequin,Q506288,Andrew McMahon
Q2467307,The Jimmy Chamberlin Complex,Q373733,Jimmy Chamberlin
Q3027651,Diffuser,Q7818294,Tomas Costanza
Q281894,Converge,Q6118337,Jacob Bannon
Q282486,Deep Dish,Q741060,Dubfire
Q282388,Orthrelm,Q5566178,Mick Barr
Q3025456,Devil in a Woodpile,Q7817910,Tom V. Ray
Q281424,Little Joy,Q7357291,Rodrigo Amarante
Q3027728,Digable Planets,Q20684213,Ishmael Butler
Q282247,Foesum,Q542727,Twinz
Q912800,Stars of the Lid,Q4964644,Brian McBride
Q910459,Bury Your Dead,Q6785811,Mat Bruso
Q1516678,Souls of Mischief,Q1401499,A-Plus
Q1516311,High Spirits,Q50843285,Chris Black
Q688879,Armored Saint,Q651937,John Bush
Q1514309,The Early November,Q4672972,Ace Enders
Q1516744,OuterSpace,Q16734578,Planetary
Q689399,Darling Thieves,Q375390,Justin Mauriello
Q689921,Army of the Pharaohs,Q529289,Vinnie Paz
Q1027200,Calle 13,Q6055355,iLe
Q980356,Shadow Gallery,Q6845928,Mike Baker
Q2165679,The Surfaris,Q4931819,Bob Berryhill
Q214039,Beastie Boys,Q6467756,John Berry
Q2262336,45 Grave,Q5277899,Dinah Cancer
Q1653349,Electric Guest,Q4803167,Asa Taccone
Q1027200,Calle 13,Q6378460,Visitante
Q2267966,Eleven,Q984115,Alain Johannes
Q214039,Beastie Boys,Q1351217,"Eric ""Bobo"" Correa"
Q214039,Beastie Boys,Q1233832,Doctor Dré
Q1412030,Tortoise,Q4997575,Bundy K. Brown
Q1411221,Only Crime,Q3942874,Russ Rankin
Q1543041,The Osmonds,Q386053,Donny Osmond
Q1543041,The Osmonds,Q465641,Marie Osmond
Q1540106,Jedi Mind Tricks,Q529289,Vinnie Paz
Q2083578,Double Trouble,Q202937,Stevie Ray Vaughan
Q2083578,Double Trouble,Q546349,Lou Ann Barton
Q2083578,Double Trouble,Q2279443,Tommy Shannon
Q2414335,Sons of the Pioneers,Q367129,Roy Rogers
Q2419957,Sweet 75,Q428798,Krist Novoselic
Q268359,Hatebreed,Q1681367,Jamey Jasta
Q4731589,Allen Collins Band,Q463185,Allen Collins
Q278406,High on Fire,Q957289,Joe Preston
Q278406,High on Fire,Q6174450,Jeff Matz
Q278406,High on Fire,Q16214474,Des Kensel
Q278406,High on Fire,Q3852030,Matt Pike
Q1388152,FFH,Q21572840,Michael Boggs
Q1757318,The Rascals,Q5442163,Felix Cavaliere
Q1543576,Pink Martini,Q7620146,Storm Large
Q3905826,Pitch Black Forecast,Q740617,Jason Popson
Q3905806,Pistol Annies,Q231233,Miranda Lambert
Q3911383,Pride of Lions,Q1689190,Jim Peterik
Q3906634,Pleistoscene,Q2076667,Zim Zum
Q2686789,Souls Harbor,Q5300703,Doug Marshall
Q2908024,Bobby and the Midnites,Q888316,Bob Weir
Q2715339,Raspberries,Q5229854,Dave Smalley
Q2700058,The Jets,Q5407858,Eugene Wolfgramm
Q1543576,Pink Martini,Q3525380,Thomas Lauderdale
Q1543204,Grant Lee Buffalo,Q3136548,Paul Kimble
Q281424,Little Joy,Q28598559,Binki Shapiro
Q1543137,Something Corporate,Q506288,Andrew McMahon
Q1543576,Pink Martini,Q1984557,China Forbes
Q1544144,Tin Machine,Q3143343,Hunt Sales
Q1544403,Virgin Steele,Q1293278,Edward Pursino
Q1544144,Tin Machine,Q2662821,Reeves Gabrels
Q1544790,Life of Agony,Q3607771,Alan Robert
Q1544144,Tin Machine,Q3531877,Tony Sales
Q1592229,Head East,Q2628669,John Schlitt
Q1592104,Hazmat Modine,Q2146636,Reut Regev
Q214418,The Bangles,Q443813,Michael Steele
Q1381646,The Bad Plus,Q5402944,Ethan Iverson
Q214237,The All-American Rejects,Q2736922,Tyson Ritter
Q4729836,All Together Separate,Q4524298,Drew Shirley
Q4725562,Alialujah Choir,Q3368147,Weinland
Q4728749,All Girl Summer Fun Band,Q6377226,Kathy Foster
Q4691008,Against,Q5213268,Dan Clements
Q4690451,After 7,Q6397835,Kevon Edmonds
Q1386995,The Chiffons,Q6304399,Judy Craig
Q1390974,Face to Face,Q7838960,Trever Keith
Q1382240,Every Time I Die,Q6384132,Keith Buckley
Q1383448,Excel,Q5213268,Dan Clements
Q1384772,Exposé,Q4766345,Ann Curless
Q1381972,Everclear,Q4796673,Art Alexakis
Q1385144,Extra Life,Q16731614,Charlie Looker
Q1550377,Methods of Mayhem,Q331748,Tommy Lee
Q2094256,Luna,Q373354,Dean Wareham
Q320499,Faith No More,Q439445,Mike Bordin
Q223736,Velvet Revolver,Q39672,Matt Sorum
Q223736,Velvet Revolver,Q251865,Duff McKagan
Q294453,All,Q5066329,Chad Price
Q300119,AUX 88,Q2746371,Keith Tucker
Q292198,ohGr,Q3046801,Nivek Ogre
Q294487,Animal Liberation Orchestra,Q2204714,Zach Gill
Q292061,AFI,Q431496,Davey Havok
Q300386,A Day to Remember,Q14865702,Tom Denney
Q4708466,Alaska!,Q7381733,Russell Pollard
Q4716585,"Alex, Jorge y Lena",Q6522082,Lena Burke
Q4732628,Allies,Q7292469,Randy Thomas
Q4697699,Air,Q7815401,Tom Coppola
Q4698091,Air Miami,Q6769479,Mark Robinson
Q215125,Flyleaf,Q257764,Lacey Sturm
Q4710821,Albert McNeil Jubilee Singers,Q16202483,Ralph Cato
Q1544403,Virgin Steele,Q1174183,David DeFeis
Q1544790,Life of Agony,Q74813,Mina Caputo
Q214039,Beastie Boys,Q3614176,Amery Smith
Q214039,Beastie Boys,Q3700428,DJ Hurricane
Q1001450,Finch,Q3336503,Nate Barcalow
Q214039,Beastie Boys,Q3813331,Kate Schellenbach
Q214039,Beastie Boys,Q3609235,Money Mark
Q214039,Beastie Boys,Q3611467,Alfredo Ortiz
Q1030723,The 88,Q4679484,Adam Merrin
Q220730,The Killers,Q309697,Brandon Flowers
Q220730,The Killers,Q2312688,Dave Keuning
Q220730,The Killers,Q2312739,Mark Stoermer
Q220730,The Killers,Q181280,Ronnie Vannucci
Q4033106,aTelecine,Q21500970,Ian Cinnamon
Q2071541,Grace Potter and the Nocturnals,Q21042697,Grace Potter
Q3486396,Skull Gang,Q445386,Juelz Santana
Q3486220,Skeleton Crew,Q741613,Tom Cora
Q3485581,Six Finger Satellite,Q725022,The Juan MacLean
Q3121507,Guy,Q927450,Teddy Riley
Q3961134,The Simon Sisters,Q181683,Carly Simon
Q1427240,The Knack,Q218031,Terry Bozzio
Q1543041,The Osmonds,Q6167000,Jay Osmond
Q1543041,The Osmonds,Q1922035,Merrill Osmond
Q1543041,The Osmonds,Q3658587,Alan Osmond
Q1543041,The Osmonds,Q7976514,Wayne Osmond
Q1543041,The Osmonds,Q1689414,Jimmy Osmond
Q1539872,Son of Sam,Q7722318,The Chelsea Smiles
Q218837,The Supremes,Q36290,Diana Ross
Q287206,Commodores,Q26695,Lionel Richie
Q322196,Cypress Hill,Q955323,DJ Muggs
Q322196,Cypress Hill,Q352246,B-Real
Q1756608,Phantom Planet,Q313705,Jason Schwartzman
Q258794,Adelitas Way,Q16222161,Rick DeJesus
Q1639003,Universal Order of Armageddon,Q7821392,Tonie Joy
Q1658371,The Cowsills,Q16187025,John Cowsill
Q1015241,Thao & The Get Down Stay Down,Q16209913,Thao Nguyen
Q2267489,Love Spit Love,Q7324506,Richard Butler
Q1660237,Impaled,Q7441236,Sean McGrath
Q2166038,Ronny & The Daytonas,Q19921262,John Buck Wilkin
Q2413972,The Roches,Q7651466,Suzzy Roche
Q300519,A Perfect Circle,Q2350322,Billy Howerdel
Q301142,Descendents,Q177111,Bill Stevenson
Q4035392,Brazzaville,Q4096104,David Arthur Brown
Q4035158,Black Lab,Q4414953,Paul Durham
Q3486869,Sun Red Sun,Q4703522,Al B. Romano
Q3109760,Godhead,Q6162157,Jason C. Miller
Q3486797,Sludgeworth,Q5214526,Dan Vapid
Q1975827,TCB Band,Q326937,James Burton
Q2894589,Bell Biv DeVoe,Q7332041,Ricky Bell
Q2901172,The Butchies,Q13561705,Kaia Wilson
Q2902163,Big Boys,Q7292481,Randy Turner
Q3863215,Mortal Treason,Q7456524,Seth Kimbrough
Q2901172,The Butchies,Q6812913,Melissa York
Q3837452,Lost Dogs,Q5531199,Gene Eugene
Q2905356,Black Diamond Heavies,Q3428483,Reverend James Leg
Q3876794,Nightmare of You,Q3643721,Brandon Reilly
Q2902100,Big & Rich,Q4905929,Big Kenny
Q2906979,Bloodhorse,Q4717025,Alex Garcia-Rivera
Q3855095,Mercy Killers,Q1138536,Craig Fairbaugh
Q287803,iiO,Q239940,Nadia Ali
Q3960010,City High,Q719799,Ryan Toby
Q1428025,O-Town,Q725986,Ashley Parker Angel
Q2097083,The Martinis,Q576535,Joey Santiago
Q320499,Faith No More,Q523589,Billy Gould
Q2665662,Achozen,Q52447,RZA
Q3051964,Emanon,Q49319,Aloe Blacc
Q2166292,Toad the Wet Sprocket,Q22958947,Dean Dinning
Q2414032,The Royal Teens,Q68818594,Buddy Randell
Q2413972,The Roches,Q28864836,Terre Roche
Q2413972,The Roches,Q28864838,Margaret Roche
Q2437348,Pacific Gas & Electric,Q2960819,Charlie Allen
Q2414205,The Shondes,Q6688554,Louisa Rachel Solomon
Q2437348,Pacific Gas & Electric,Q59529654,Jerry Aiello
Q3881496,Old 97's,Q602951,Rhett Miller
Q2416781,Themselves,Q3037323,Doseone
Q3877239,Nino Tempo & April Stevens,Q615713,Nino Tempo
Q223736,Velvet Revolver,Q725765,Dave Kushner
Q223736,Velvet Revolver,Q363236,Scott Weiland
Q222856,2 Live Crew,Q3267867,Luther Campbell
Q3277429,Ozma,Q19665524,Ryen Slegr
Q3298452,Material,Q511058,Fred Maher
Q3296741,Graham Central Station,Q471032,Larry Graham
Q3298452,Material,Q443007,Daevid Allen
Q3243545,Archers of Loaf,Q5386067,Eric Bachmann
Q3277102,Atlantic Starr,Q5236571,David Lewis
Q1579194,Radio Moscow,Q18686477,Parker Griggs
Q1972270,Sleeping with Sirens,Q11738672,Kellin Quinn
Q1978005,Nerf Herder,Q3366037,Parry Gripp
Q1588408,The Rooftop Singers,Q1353870,Erik Darling
Q1974953,Non Phixion,Q459251,Ill Bill
Q1583306,Motionless in White,Q16231457,Chris Motionless
Q3296470,Ernie Haase & Signature Sound,Q2881691,Ernie Haase
Q1761622,The Greg Kihn Band,Q194287,Joe Satriani
Q1761622,The Greg Kihn Band,Q346123,Robert Berry
Q3105754,The Stray Gators,Q561873,Spooner Oldham
Q219874,Village People,Q2518990,Glenn Hughes
Q221987,2AM Club,Q26435713,Marc E. Bassy
Q219874,Village People,Q3018078,David Hodo
Q219874,Village People,Q4716735,Alex Briley
